C3;TotalEdgeLength;EdgeMean;EdgeRatio;EdgeStdDev;
0,6999996;41,5797086954117;2,188406;3,293762;0,6787439;
0,6999996;41,6102653741837;2,190014;3,252901;0,6726102;
0,6999996;41,5817877054214;2,188515;3,292419;0,6783288;
0,6999996;41,5715817213058;2,187978;3,300883;0,6809368;
0,7099996;41,7854406833649;2,199234;3,272388;0,6778144;
0,7099996;41,7583492994308;2,197808;3,31122;0,6834773;
0,7099996;41,7434459924698;2,197023;3,320873;0,686716;
0,7099996;41,7582706212997;2,197804;3,311223;0,6834835;
0,7099996;41,7565429210663;2,197713;3,311022;0,6837015;
0,7199996;41,9277107715607;2,206722;3,332226;0,68944;
0,7199996;41,9197882413864;2,206305;3,334158;0,6905441;
0,7199996;41,9278268814087;2,206728;3,332193;0,6894234;
0,7199996;41,9274761676788;2,206709;3,331774;0,6893822;
0,7199996;41,9278062582016;2,206727;3,332168;0,6894211;
0,7299996;42,0906277894974;2,215296;3,352205;0,695852;
0,7299996;42,0950427055359;2,215529;3,351866;0,6952643;
0,7299996;42,0958167314529;2,215569;3,351984;0,695209;
0,7299996;42,095170378685;2,215535;3,351847;0,6952518;
0,7299996;42,0907763242722;2,215304;3,352877;0,6958556;
0,7399996;42,258669257164;2,224141;3,37217;0,7014757;
0,7399996;42,2630391120911;2,22437;3,372301;0,7010553;
0,7399996;42,2500451803207;2,223687;3,378809;0,7038182;
0,7399996;42,2587908506393;2,224147;3,372146;0,7015054;
0,7399996;42,2605053186417;2,224237;3,370905;0,7011855;
0,7499996;42,4165033102036;2,232448;3,397406;0,7093712;
0,7499996;42,4188771247864;2,232572;3,394335;0,7084739;
0,7499996;42,4166210889816;2,232454;3,397732;0,7094169;
0,7499996;42,4166210889816;2,232454;3,397732;0,7094169;
0,7499996;42,4286807775497;2,233089;3,391224;0,7067012;
0,7599996;42,5819046497345;2,241153;3,41632;0,7149619;
0,7599996;42,5936353206635;2,24177;3,410584;0,7123731;
0,7599996;42,5818946361542;2,241153;3,41632;0,7149698;
0,7599996;42,641618013382;2,244296;3,359166;0,7025928;
0,7599996;42,5937134027481;2,241774;3,410823;0,712408;
0,7699996;42,7574588060379;2,250392;3,429572;0,7179744;
0,7699996;42,7458891868591;2,249784;3,434696;0,7204782;
0,7699996;42,7573920488358;2,250389;3,429628;0,7179931;
0,7699996;42,7574774026871;2,250393;3,429628;0,7179826;
0,7699996;42,745623588562;2,24977;3,434459;0,7204705;
0,7799996;42,9199584722519;2,258945;3,448197;0,7235289;
0,7799996;42,9088287353516;2,258359;3,452914;0,7259418;
0,7799996;42,9090214967728;2,25837;3,452997;0,7259291;
0,7799996;42,9196817874908;2,258931;3,447784;0,7234889;
0,7799996;42,919933795929;2,258944;3,447973;0,7234904;
0,7899995;43,0811711549759;2,26743;3,465959;0,7289437;
0,7899995;43,1404801607132;2,270552;3,411109;0,717121;
0,7899995;43,0704473257065;2,266866;3,470741;0,7313524;
0,7899995;43,0703061819077;2,266858;3,470312;0,7312819;
0,7899995;43,070694565773;2,266879;3,470866;0,7313399;
0,7999995;43,2416262626648;2,275875;3,484625;0,734477;
0,7999995;43,2413597106934;2,275861;3,484092;0,7344134;
0,7999995;43,2417447566986;2,275881;3,484586;0,7344533;
0,7999995;43,2307616472244;2,275304;3,487358;0,7365727;
0,7999995;43,2416154146194;2,275875;3,484612;0,7344755;
0,8099995;43,3916234970093;2,28377;3,505711;0,7417948;
0,8099995;43,467364192009;2,287756;3,444022;0,7266206;
0,8099995;43,4009873867035;2,284263;3,502466;0,7398518;
0,8099995;43,400775551796;2,284251;3,502265;0,7398423;
0,8099995;43,4008806943893;2,284257;3,502496;0,7398721;
0,8199995;43,5591413974762;2,292587;3,520146;0,7452108;
